	Age	Cell_Line	Treatment	StopReason	G1S_Age_1	G1S_Age_2	CloneID	TrackID	Generation	TP53
1	3.85416667e-01	BT474	control	Division	       NaN	       NaN	1.00000000e+00	1.00000000e+00	0.00000000e+00	wt
2	6.45833333e-01	BT474	control	Division	2.50806452e-01	       NaN	2.00000000e+00	1.00000000e+00	0.00000000e+00	wt
3	6.25000000e-01	BT474	control	Division	2.41129032e-01	       NaN	3.00000000e+00	1.00000000e+00	0.00000000e+00	wt
4	2.76041667e+00	BT474	control	Apoptosis	       NaN	       NaN	4.00000000e+00	1.00000000e+00	0.00000000e+00	wt
5	1.30208333e+00	BT474	control	Division	9.90207373e-01	       NaN	5.00000000e+00	1.00000000e+00	0.00000000e+00	wt
6	8.33333334e-02	BT474	control	Division	       NaN	       NaN	6.00000000e+00	1.00000000e+00	0.00000000e+00	wt
7	1.04166667e-01	BT474	control	Division	       NaN	       NaN	7.00000000e+00	1.00000000e+00	0.00000000e+00	wt
8	1.26041667e+00	BT474	control	Division	9.83294931e-01	       NaN	8.00000000e+00	1.00000000e+00	0.00000000e+00	wt
9	1.77083333e+00	BT474	control	Division	1.39400922e+00	       NaN	9.00000000e+00	1.00000000e+00	0.00000000e+00	wt
10	5.41666667e-01	BT474	control	Division	1.20967742e-01	       NaN	1.00000000e+01	1.00000000e+00	0.00000000e+00	wt
11	7.60416667e-01	BT474	control	Division	3.80529954e-01	       NaN	1.10000000e+01	1.00000000e+00	0.00000000e+00	wt
12	7.91666667e-01	BT474	control	Division	4.48963134e-01	       NaN	1.20000000e+01	1.00000000e+00	0.00000000e+00	wt
13	8.33333333e-01	BT474	control	Division	4.75806452e-01	       NaN	1.30000000e+01	1.00000000e+00	0.00000000e+00	wt
14	4.89583333e-01	BT474	control	Division	1.22695853e-01	       NaN	1.40000000e+01	1.00000000e+00	0.00000000e+00	wt
15	4.68750000e-01	BT474	control	Division	1.21543779e-01	       NaN	1.50000000e+01	1.00000000e+00	0.00000000e+00	wt
16	4.68750000e-01	BT474	control	Division	1.43433180e-01	       NaN	1.60000000e+01	1.00000000e+00	0.00000000e+00	wt
17	8.02083333e-01	BT474	control	Division	5.19585253e-01	       NaN	1.70000000e+01	1.00000000e+00	0.00000000e+00	wt
18	7.91666667e-01	BT474	control	Division	5.19470046e-01	       NaN	1.80000000e+01	1.00000000e+00	0.00000000e+00	wt
19	9.58333333e-01	BT474	control	Division	6.94700461e-01	       NaN	1.90000000e+01	1.00000000e+00	0.00000000e+00	wt
20	1.00000000e+00	BT474	control	Division	7.47695853e-01	       NaN	2.00000000e+01	1.00000000e+00	0.00000000e+00	wt
21	9.37500000e-02	BT474	control	Division	       NaN	       NaN	2.10000000e+01	1.00000000e+00	0.00000000e+00	wt
22	1.33333333e+00	BT474	control	Division	1.08698157e+00	       NaN	2.20000000e+01	1.00000000e+00	0.00000000e+00	wt
23	1.22916667e+00	BT474	control	Division	9.48732719e-01	       NaN	2.30000000e+01	1.00000000e+00	0.00000000e+00	wt
