	Event_Time	Start_Time	Cause	Growth_Factor	Clone	Progenitor	Generation
1282	7.60E-01	7.33E+05	0	1	1	2	1
1283	8.93E-01	7.33E+05	0	1	1	3	1
1	3.56E-01	7.33E+05	1	1	2	1	0
2	3.33E+00	7.33E+05	1	1	2	4	2
3	9.24E-02	7.33E+05	1	1	3	1	0
6	1.40E+00	7.33E+05	1	1	4	5	2
4	1.40E+00	7.33E+05	1	1	4	6	2
5	1.46E+00	7.33E+05	1	1	4	7	2
8	1.68E+00	7.33E+05	1	1	4	8	3
7	1.76E+00	7.33E+05	1	1	4	9	3
1702	8.33E-01	7.33E+05	2	1	5	2	1
1284	4.76E-01	7.33E+05	0	1	5	3	1
9	1.74E-01	7.33E+05	1	1	6	1	0
10	1.74E-01	7.33E+05	1	1	7	1	0
11	1.74E-01	7.33E+05	1	1	8	1	0
1703	1.01E+00	7.33E+05	2	1	9	1	0
12	1.74E-01	7.33E+05	1	1	10	1	0
1704	1.11E+00	7.33E+05	2	1	11	2	1
1705	1.36E+00	7.33E+05	2	1	11	3	1
1706	1.91E+00	7.33E+05	2	1	12	10	3
1285	2.44E+00	7.33E+05	0	1	12	14	3
13	2.98E+00	7.33E+05	1	1	12	30	4
14	2.98E+00	7.33E+05	1	1	12	31	4
22	2.63E+00	7.33E+05	1	1	12	32	5
32	2.63E+00	7.33E+05	1	1	12	33	5
33	2.63E+00	7.33E+05	1	1	12	34	5
1707	2.69E+00	7.33E+05	2	1	12	35	5
23	2.98E+00	7.33E+05	1	1	12	44	5
16	2.98E+00	7.33E+05	1	1	12	45	5
30	2.98E+00	7.33E+05	1	1	12	46	5
18	2.98E+00	7.33E+05	1	1	12	47	5
25	3.34E+00	7.33E+05	1	1	12	48	5
28	3.34E+00	7.33E+05	1	1	12	49	5
29	3.34E+00	7.33E+05	1	1	12	50	5
19	3.34E+00	7.33E+05	1	1	12	51	5
20	3.34E+00	7.33E+05	1	1	12	52	5
21	3.34E+00	7.33E+05	1	1	12	53	5
24	3.34E+00	7.33E+05	1	1	12	54	5
26	3.34E+00	7.33E+05	1	1	12	55	5
27	3.01E+00	7.33E+05	1	1	12	60	5
31	3.01E+00	7.33E+05	1	1	12	61	5
17	3.13E+00	7.33E+05	1	1	12	62	5
15	3.13E+00	7.33E+05	1	1	12	63	5
48	3.01E+00	7.33E+05	1	1	12	64	6
52	3.01E+00	7.33E+05	1	1	12	65	6
50	3.09E+00	7.33E+05	1	1	12	66	6
46	3.09E+00	7.33E+05	1	1	12	67	6
38	3.34E+00	7.33E+05	1	1	12	72	6
41	3.34E+00	7.33E+05	1	1	12	73	6
1709	3.39E+00	7.33E+05	2	1	12	74	6
1708	3.33E+00	7.33E+05	2	1	12	75	6
42	3.25E+00	7.33E+05	1	1	12	76	6
43	3.25E+00	7.33E+05	1	1	12	77	6
47	3.25E+00	7.33E+05	1	1	12	78	6
53	2.98E+00	7.33E+05	1	1	12	79	6
37	3.15E+00	7.33E+05	1	1	12	94	6
39	3.15E+00	7.33E+05	1	1	12	95	6
36	3.46E+00	7.33E+05	1	1	12	102	6
49	3.46E+00	7.33E+05	1	1	12	103	6
44	3.43E+00	7.33E+05	1	1	12	106	6
40	3.43E+00	7.33E+05	1	1	12	107	6
45	3.52E+00	7.33E+05	1	1	12	110	6
51	3.52E+00	7.33E+05	1	1	12	111	6
35	3.56E+00	7.33E+05	1	1	12	120	6
34	3.56E+00	7.33E+05	1	1	12	121	6
56	3.58E+00	7.33E+05	1	1	12	152	7
58	3.58E+00	7.33E+05	1	1	12	153	7
57	4.02E+00	7.33E+05	1	1	12	208	7
55	4.02E+00	7.33E+05	1	1	12	209	7
54	4.26E+00	7.33E+05	1	1	12	218	7
1710	9.15E-01	7.33E+05	2	1	13	1	0
60	8.75E-01	7.33E+05	1	1	14	2	1
59	8.75E-01	7.33E+05	1	1	14	3	1
61	2.59E-01	7.33E+05	1	1	15	1	0
62	4.44E-01	7.33E+05	1	1	15	2	1
1711	1.29E+00	7.33E+05	2	1	16	3	1
64	3.61E+00	7.33E+05	1	1	16	32	5
66	3.61E+00	7.33E+05	1	1	16	33	5
65	3.61E+00	7.33E+05	1	1	16	34	5
63	3.61E+00	7.33E+05	1	1	16	35	5
67	3.96E+00	7.33E+05	1	1	16	45	5
69	3.86E+00	7.33E+05	1	1	16	66	6
68	3.84E+00	7.33E+05	1	1	16	68	6
70	3.84E+00	7.33E+05	1	1	16	69	6
75	3.79E+00	7.33E+05	1	1	16	70	6
80	3.79E+00	7.33E+05	1	1	16	71	6
76	4.22E+00	7.33E+05	1	1	16	72	6
79	4.22E+00	7.33E+05	1	1	16	73	6
78	4.22E+00	7.33E+05	1	1	16	74	6
74	4.22E+00	7.33E+05	1	1	16	75	6
1714	4.46E+00	7.33E+05	2	1	16	76	6
1713	4.35E+00	7.33E+05	2	1	16	77	6
87	4.49E+00	7.33E+05	1	1	16	80	6
85	4.49E+00	7.33E+05	1	1	16	81	6
86	4.49E+00	7.33E+05	1	1	16	82	6
88	4.49E+00	7.33E+05	1	1	16	83	6
83	4.57E+00	7.33E+05	1	1	16	84	6
84	4.57E+00	7.33E+05	1	1	16	85	6
1715	4.87E+00	7.33E+05	2	1	16	86	6
1712	4.29E+00	7.33E+05	2	1	16	87	6
72	4.31E+00	7.33E+05	1	1	16	88	6
77	4.31E+00	7.33E+05	1	1	16	89	6
82	4.49E+00	7.33E+05	1	1	16	92	6
81	4.49E+00	7.33E+05	1	1	16	93	6
73	4.31E+00	7.33E+05	1	1	16	94	6
71	4.31E+00	7.33E+05	1	1	16	95	6
95	4.57E+00	7.33E+05	1	1	16	134	7
109	4.34E+00	7.33E+05	1	1	16	140	7
108	4.34E+00	7.33E+05	1	1	16	141	7
116	4.40E+00	7.33E+05	1	1	16	142	7
89	4.40E+00	7.33E+05	1	1	16	143	7
98	4.49E+00	7.33E+05	1	1	16	146	7
97	4.49E+00	7.33E+05	1	1	16	147	7
106	4.40E+00	7.33E+05	1	1	16	150	7
105	4.40E+00	7.33E+05	1	1	16	151	7
119	4.83E+00	7.33E+05	1	1	16	156	7
1286	4.57E+00	7.33E+05	0	1	16	157	7
118	4.83E+00	7.33E+05	1	1	16	158	7
113	4.83E+00	7.33E+05	1	1	16	159	7
103	4.92E+00	7.33E+05	1	1	16	162	7
90	4.92E+00	7.33E+05	1	1	16	163	7
102	5.01E+00	7.33E+05	1	1	16	164	7
101	5.01E+00	7.33E+05	1	1	16	165	7
104	5.02E+00	7.33E+05	1	1	16	166	7
100	5.02E+00	7.33E+05	1	1	16	167	7
96	5.05E+00	7.33E+05	1	1	16	170	7
94	5.05E+00	7.33E+05	1	1	16	171	7
110	4.43E+00	7.33E+05	1	1	16	178	7
120	4.43E+00	7.33E+05	1	1	16	179	7
99	4.65E+00	7.33E+05	1	1	16	182	7
92	4.65E+00	7.33E+05	1	1	16	183	7
91	4.52E+00	7.33E+05	1	1	16	184	7
93	4.52E+00	7.33E+05	1	1	16	185	7
117	4.51E+00	7.33E+05	1	1	16	186	7
111	4.51E+00	7.33E+05	1	1	16	187	7
112	4.43E+00	7.33E+05	1	1	16	188	7
115	4.43E+00	7.33E+05	1	1	16	189	7
107	4.40E+00	7.33E+05	1	1	16	190	7
114	4.40E+00	7.33E+05	1	1	16	191	7
121	2.59E-01	7.33E+05	1	1	17	1	0
122	4.20E-01	7.33E+05	1	1	17	2	1
124	1.05E+00	7.33E+05	1	1	18	2	1
123	1.05E+00	7.33E+05	1	1	18	3	1
1717	1.40E+00	7.33E+05	2	1	19	2	1
1716	8.68E-01	7.33E+05	2	1	19	3	1
125	1.25E+00	7.33E+05	1	1	20	4	2
126	1.25E+00	7.33E+05	1	1	20	5	2
127	1.25E+00	7.33E+05	1	1	20	6	2
128	1.25E+00	7.33E+05	1	1	20	7	2
130	1.37E+00	7.33E+05	1	1	20	8	3
129	1.37E+00	7.33E+05	1	1	20	9	3
135	1.85E+00	7.33E+05	1	1	20	16	4
134	1.85E+00	7.33E+05	1	1	20	17	4
136	2.02E+00	7.33E+05	1	1	20	24	4
