	Event_Time	Cause	Group	Clone	Progeny	Generation	GFPAtBirth	GFPAtDeath
18	3.89E+00	2.00E+00	Condition 1	1.00E+00	1.00E+00	0.00E+00	9.50E+01	1.42E+02
69	9.90E-01	1.00E+00	Condition 2	1.00E+00	1.00E+00	0.00E+00	5.51E+01	2.24E+02
106	2.62E+00	1.00E+00	Condition 2	1.00E+00	2.00E+00	1.00E+00	1.05E+02	1.29E+02
105	2.61E+00	1.00E+00	Condition 2	1.00E+00	3.00E+00	1.00E+00	1.01E+02	7.78E+01
145	5.21E-01	0.00E+00	Condition 2	1.00E+00	4.00E+00	2.00E+00	1.58E+02	9.63E+01
136	5.21E-01	0.00E+00	Condition 2	1.00E+00	5.00E+00	2.00E+00	1.06E+02	1.89E+01
115	5.31E-01	0.00E+00	Condition 2	1.00E+00	6.00E+00	2.00E+00	3.23E+01	4.22E+01
117	5.31E-01	0.00E+00	Condition 2	1.00E+00	7.00E+00	2.00E+00	4.11E+01	2.74E+01
172	3.06E+00	2.00E+00	Condition 3	1.00E+00	1.00E+00	0.00E+00	2.60E+01	2.42E+01
231	4.37E-01	1.00E+00	Condition 4	1.00E+00	1.00E+00	0.00E+00	3.39E+02	5.58E+02
260	3.69E+00	0.00E+00	Condition 4	1.00E+00	2.00E+00	1.00E+00	8.64E+01	6.46E+00
240	2.18E+00	1.00E+00	Condition 4	1.00E+00	3.00E+00	1.00E+00	9.72E+00	4.66E+02
305	1.51E+00	0.00E+00	Condition 4	1.00E+00	6.00E+00	2.00E+00	5.67E+02	2.09E+02
280	9.25E-01	2.00E+00	Condition 4	1.00E+00	7.00E+00	2.00E+00	2.00E+01	1.62E+03
354	4.13E+00	0.00E+00	Condition 5	1.00E+00	1.00E+00	0.00E+00	8.97E+01	1.37E+02
415	4.79E-01	1.00E+00	Condition 6	1.00E+00	1.00E+00	0.00E+00	5.98E+01	1.03E+02
457	2.56E+00	1.00E+00	Condition 6	1.00E+00	2.00E+00	1.00E+00	5.52E+01	5.38E+02
454	3.65E+00	0.00E+00	Condition 6	1.00E+00	3.00E+00	1.00E+00	4.94E+01	1.71E+02
519	1.09E+00	0.00E+00	Condition 6	1.00E+00	4.00E+00	2.00E+00	3.78E+02	1.31E+02
521	1.09E+00	0.00E+00	Condition 6	1.00E+00	5.00E+00	2.00E+00	3.91E+02	1.80E+02
547	2.64E+00	1.00E+00	Condition 7	1.00E+00	1.00E+00	0.00E+00	4.00E+01	3.35E+01
561	1.49E+00	0.00E+00	Condition 7	1.00E+00	2.00E+00	1.00E+00	2.58E+01	1.45E+01
559	4.13E+00	0.00E+00	Condition 7	1.00E+00	3.00E+00	1.00E+00	1.42E+01	1.19E+01
573	2.12E+00	2.00E+00	Condition 8	1.00E+00	1.00E+00	0.00E+00	1.77E+01	2.41E+02
8	2.92E-01	1.00E+00	Condition 1	2.00E+00	1.00E+00	0.00E+00	3.23E+01	1.47E+02
36	2.76E+00	2.00E+00	Condition 1	2.00E+00	2.00E+00	1.00E+00	2.59E+01	1.59E+02
34	1.28E+00	1.00E+00	Condition 1	2.00E+00	3.00E+00	1.00E+00	1.00E+01	2.26E+01
50	2.56E+00	0.00E+00	Condition 1	2.00E+00	6.00E+00	2.00E+00	3.25E+01	5.95E+01
48	1.26E+00	1.00E+00	Condition 1	2.00E+00	7.00E+00	2.00E+00	2.08E+01	2.38E+01
56	1.30E+00	0.00E+00	Condition 1	2.00E+00	1.40E+01	3.00E+00	1.03E+01	4.67E+01
57	1.30E+00	0.00E+00	Condition 1	2.00E+00	1.50E+01	3.00E+00	2.60E+01	3.37E+01
62	1.09E+00	1.00E+00	Condition 2	2.00E+00	1.00E+00	0.00E+00	4.43E+01	2.04E+02
96	2.63E+00	1.00E+00	Condition 2	2.00E+00	2.00E+00	1.00E+00	7.35E+01	3.95E+01
99	2.12E+00	1.00E+00	Condition 2	2.00E+00	3.00E+00	1.00E+00	7.84E+01	2.09E+02
124	4.17E-01	0.00E+00	Condition 2	2.00E+00	4.00E+00	2.00E+00	7.34E+01	5.72E+01
133	4.17E-01	0.00E+00	Condition 2	2.00E+00	5.00E+00	2.00E+00	9.07E+01	5.70E+01
135	9.24E-01	0.00E+00	Condition 2	2.00E+00	6.00E+00	2.00E+00	1.02E+02	9.97E+01
139	9.24E-01	0.00E+00	Condition 2	2.00E+00	7.00E+00	2.00E+00	1.19E+02	8.92E+01
171	3.96E-01	1.00E+00	Condition 3	2.00E+00	1.00E+00	0.00E+00	1.79E+01	2.36E+01
183	1.79E+00	1.00E+00	Condition 3	2.00E+00	2.00E+00	1.00E+00	1.04E+01	1.73E+01
184	1.88E+00	1.00E+00	Condition 3	2.00E+00	3.00E+00	1.00E+00	1.27E+01	1.78E+01
201	1.95E+00	0.00E+00	Condition 3	2.00E+00	4.00E+00	2.00E+00	1.31E+01	1.31E+01
204	1.95E+00	0.00E+00	Condition 3	2.00E+00	5.00E+00	2.00E+00	2.08E+01	2.45E+01
203	1.85E+00	0.00E+00	Condition 3	2.00E+00	6.00E+00	2.00E+00	1.94E+01	2.20E+01
202	1.85E+00	0.00E+00	Condition 3	2.00E+00	7.00E+00	2.00E+00	1.77E+01	1.94E+01
235	2.74E+00	1.00E+00	Condition 4	2.00E+00	1.00E+00	0.00E+00	7.82E+02	2.22E+03
270	1.38E+00	0.00E+00	Condition 4	2.00E+00	2.00E+00	1.00E+00	1.61E+03	1.18E+03
268	1.38E+00	0.00E+00	Condition 4	2.00E+00	3.00E+00	1.00E+00	1.55E+03	1.32E+03
347	3.85E-01	1.00E+00	Condition 5	2.00E+00	1.00E+00	0.00E+00	2.03E+01	2.10E+01
367	1.65E+00	1.00E+00	Condition 5	2.00E+00	2.00E+00	1.00E+00	1.63E+01	4.23E+01
364	1.92E+00	1.00E+00	Condition 5	2.00E+00	3.00E+00	1.00E+00	1.36E+01	1.42E+01
385	2.10E+00	0.00E+00	Condition 5	2.00E+00	4.00E+00	2.00E+00	3.51E+01	3.26E+01
384	2.10E+00	0.00E+00	Condition 5	2.00E+00	5.00E+00	2.00E+00	3.25E+01	3.92E+01
381	1.82E+00	0.00E+00	Condition 5	2.00E+00	6.00E+00	2.00E+00	1.59E+01	2.77E+01
380	1.82E+00	0.00E+00	Condition 5	2.00E+00	7.00E+00	2.00E+00	1.51E+01	1.64E+01
401	3.09E+00	1.00E+00	Condition 6	2.00E+00	1.00E+00	0.00E+00	1.40E+01	1.25E+02
430	1.04E+00	1.00E+00	Condition 6	2.00E+00	2.00E+00	1.00E+00	1.05E+01	1.06E+02
449	9.74E-01	1.00E+00	Condition 6	2.00E+00	3.00E+00	1.00E+00	3.86E+01	1.54E+02
523	6.25E-02	0.00E+00	Condition 6	2.00E+00	6.00E+00	2.00E+00	       NaN	       NaN
524	6.25E-02	0.00E+00	Condition 6	2.00E+00	7.00E+00	2.00E+00	       NaN	       NaN
551	3.32E+00	2.00E+00	Condition 7	2.00E+00	1.00E+00	0.00E+00	1.07E+02	9.74E+01
577	1.62E+00	1.00E+00	Condition 8	2.00E+00	1.00E+00	0.00E+00	5.79E+01	2.11E+02
620	2.51E+00	0.00E+00	Condition 8	2.00E+00	2.00E+00	1.00E+00	1.06E+02	9.15E+01
621	1.06E+00	2.00E+00	Condition 8	2.00E+00	3.00E+00	1.00E+00	1.13E+02	2.71E+02
6	2.99E+00	1.00E+00	Condition 1	3.00E+00	1.00E+00	0.00E+00	2.73E+01	3.32E+02
38	1.13E+00	0.00E+00	Condition 1	3.00E+00	2.00E+00	1.00E+00	3.19E+01	1.31E+02
39	1.13E+00	0.00E+00	Condition 1	3.00E+00	3.00E+00	1.00E+00	3.56E+01	7.69E+01
71	1.77E+00	1.00E+00	Condition 2	3.00E+00	1.00E+00	0.00E+00	6.33E+01	3.19E+02
79	2.36E+00	0.00E+00	Condition 2	3.00E+00	2.00E+00	1.00E+00	1.10E+01	1.06E+02
83	2.36E+00	0.00E+00	Condition 2	3.00E+00	3.00E+00	1.00E+00	3.26E+01	1.68E+02
182	5.20E-02	1.00E+00	Condition 3	3.00E+00	1.00E+00	0.00E+00	       NaN	       NaN
194	2.78E+00	1.00E+00	Condition 3	3.00E+00	2.00E+00	1.00E+00	1.03E+02	5.94E+01
191	2.48E+00	1.00E+00	Condition 3	3.00E+00	3.00E+00	1.00E+00	7.21E+01	1.27E+02
206	1.30E+00	0.00E+00	Condition 3	3.00E+00	4.00E+00	2.00E+00	2.78E+01	9.29E+01
207	1.30E+00	0.00E+00	Condition 3	3.00E+00	5.00E+00	2.00E+00	3.53E+01	1.21E+02
209	1.59E+00	0.00E+00	Condition 3	3.00E+00	6.00E+00	2.00E+00	7.84E+01	4.55E+01
210	1.59E+00	0.00E+00	Condition 3	3.00E+00	7.00E+00	2.00E+00	8.41E+01	6.06E+01
232	2.41E+00	1.00E+00	Condition 4	3.00E+00	1.00E+00	0.00E+00	6.24E+02	2.21E+03
267	1.72E+00	0.00E+00	Condition 4	3.00E+00	2.00E+00	1.00E+00	1.49E+03	2.05E+03
269	1.72E+00	0.00E+00	Condition 4	3.00E+00	3.00E+00	1.00E+00	1.59E+03	1.76E+03
350	1.58E+00	1.00E+00	Condition 5	3.00E+00	1.00E+00	0.00E+00	3.18E+01	2.27E+01
366	2.55E+00	0.00E+00	Condition 5	3.00E+00	2.00E+00	1.00E+00	1.60E+01	4.18E+01
365	2.32E+00	2.00E+00	Condition 5	3.00E+00	3.00E+00	1.00E+00	1.45E+01	1.58E+01
419	1.02E+00	1.00E+00	Condition 6	3.00E+00	1.00E+00	0.00E+00	1.65E+02	7.17E+02
463	1.00E+00	1.00E+00	Condition 6	3.00E+00	2.00E+00	1.00E+00	1.08E+02	6.62E+02
445	8.28E-01	1.00E+00	Condition 6	3.00E+00	3.00E+00	1.00E+00	2.78E+01	2.89E+02
509	7.64E-01	1.00E+00	Condition 6	3.00E+00	4.00E+00	2.00E+00	1.89E+02	6.46E+02
514	7.64E-01	1.00E+00	Condition 6	3.00E+00	5.00E+00	2.00E+00	2.50E+02	5.91E+02
491	8.25E-01	1.00E+00	Condition 6	3.00E+00	6.00E+00	2.00E+00	7.21E+01	1.38E+03
488	1.07E+00	1.00E+00	Condition 6	3.00E+00	7.00E+00	2.00E+00	3.55E+01	7.53E+02
527	6.46E-01	1.00E+00	Condition 6	3.00E+00	8.00E+00	3.00E+00	8.54E+00	3.71E+02
540	8.01E-01	1.00E+00	Condition 6	3.00E+00	9.00E+00	3.00E+00	2.75E+02	8.78E+02
525	1.17E+00	1.00E+00	Condition 6	3.00E+00	1.00E+01	3.00E+00	4.00E+00	9.64E+02
526	1.34E+00	0.00E+00	Condition 6	3.00E+00	1.10E+01	3.00E+00	7.81E+00	4.04E+02
543	7.67E-01	1.00E+00	Condition 6	3.00E+00	1.20E+01	3.00E+00	5.68E+02	1.02E+03
542	7.78E-01	1.00E+00	Condition 6	3.00E+00	1.30E+01	3.00E+00	4.68E+02	1.09E+03
530	7.46E-01	2.00E+00	Condition 6	3.00E+00	1.40E+01	3.00E+00	4.43E+01	1.29E+02
541	1.20E+00	0.00E+00	Condition 6	3.00E+00	1.50E+01	3.00E+00	4.15E+02	3.80E+02
548	6.59E-01	1.00E+00	Condition 7	3.00E+00	1.00E+00	0.00E+00	6.06E+01	1.44E+02
564	3.47E+00	0.00E+00	Condition 7	3.00E+00	2.00E+00	1.00E+00	6.29E+01	9.06E+01
562	2.48E+00	2.00E+00	Condition 7	3.00E+00	3.00E+00	1.00E+00	5.40E+01	1.26E+02
581	6.25E-01	1.00E+00	Condition 8	3.00E+00	1.00E+00	0.00E+00	1.02E+02	2.06E+02
618	2.65E+00	1.00E+00	Condition 8	3.00E+00	2.00E+00	1.00E+00	1.00E+02	7.80E+01
613	1.79E+00	1.00E+00	Condition 8	3.00E+00	3.00E+00	1.00E+00	7.20E+01	2.35E+02
636	8.54E-01	0.00E+00	Condition 8	3.00E+00	4.00E+00	2.00E+00	1.49E+01	1.11E+01
654	8.54E-01	0.00E+00	Condition 8	3.00E+00	5.00E+00	2.00E+00	4.45E+01	1.18E+02
669	1.22E+00	1.00E+00	Condition 8	3.00E+00	6.00E+00	2.00E+00	1.33E+02	1.72E+01
671	1.72E+00	0.00E+00	Condition 8	3.00E+00	7.00E+00	2.00E+00	1.38E+02	3.34E+01
712	5.00E-01	0.00E+00	Condition 8	3.00E+00	1.20E+01	3.00E+00	8.12E+01	1.06E+01
696	5.00E-01	0.00E+00	Condition 8	3.00E+00	1.30E+01	3.00E+00	2.46E+01	5.25E+01
7	3.44E-01	1.00E+00	Condition 1	4.00E+00	1.00E+00	0.00E+00	3.21E+01	7.75E+01
35	2.67E+00	1.00E+00	Condition 1	4.00E+00	2.00E+00	1.00E+00	2.24E+01	9.81E+01
37	2.43E+00	1.00E+00	Condition 1	4.00E+00	3.00E+00	1.00E+00	2.64E+01	1.88E+02
51	1.11E+00	0.00E+00	Condition 1	4.00E+00	4.00E+00	2.00E+00	3.99E+01	4.99E+01
47	1.11E+00	0.00E+00	Condition 1	4.00E+00	5.00E+00	2.00E+00	2.01E+01	3.51E+01
49	1.35E+00	0.00E+00	Condition 1	4.00E+00	6.00E+00	2.00E+00	2.85E+01	5.79E+01
46	1.35E+00	0.00E+00	Condition 1	4.00E+00	7.00E+00	2.00E+00	1.65E+01	5.02E+01
66	2.10E+00	1.00E+00	Condition 2	4.00E+00	1.00E+00	0.00E+00	4.92E+01	2.44E+02
102	2.71E-01	2.00E+00	Condition 2	4.00E+00	2.00E+00	1.00E+00	9.20E+01	2.91E+01
103	3.75E-01	2.00E+00	Condition 2	4.00E+00	3.00E+00	1.00E+00	9.55E+01	5.07E+02
179	1.44E+00	1.00E+00	Condition 3	4.00E+00	1.00E+00	0.00E+00	9.97E+01	3.80E+02
200	2.69E+00	0.00E+00	Condition 3	4.00E+00	2.00E+00	1.00E+00	2.03E+02	6.95E+01
197	2.69E+00	0.00E+00	Condition 3	4.00E+00	3.00E+00	1.00E+00	1.49E+02	7.51E+01
236	1.87E-01	1.00E+00	Condition 4	4.00E+00	1.00E+00	0.00E+00	8.99E+02	1.62E+03
242	2.34E+00	1.00E+00	Condition 4	4.00E+00	2.00E+00	1.00E+00	1.11E+01	2.32E+03
237	2.66E+00	1.00E+00	Condition 4	4.00E+00	3.00E+00	1.00E+00	7.00E+00	1.51E+03
310	1.60E+00	0.00E+00	Condition 4	4.00E+00	4.00E+00	2.00E+00	1.18E+03	5.62E+02
312	1.33E+00	3.00E+00	Condition 4	4.00E+00	5.00E+00	2.00E+00	1.83E+03	2.74E+03
274	1.28E+00	0.00E+00	Condition 4	4.00E+00	6.00E+00	2.00E+00	8.00E+00	1.33E+03
309	1.28E+00	0.00E+00	Condition 4	4.00E+00	7.00E+00	2.00E+00	1.03E+03	1.34E+03
343	3.06E+00	1.00E+00	Condition 5	4.00E+00	1.00E+00	0.00E+00	1.13E+01	4.01E+01
369	1.07E+00	0.00E+00	Condition 5	4.00E+00	2.00E+00	1.00E+00	1.90E+01	2.25E+01
372	1.07E+00	0.00E+00	Condition 5	4.00E+00	3.00E+00	1.00E+00	3.90E+01	2.04E+01
427	4.13E+00	0.00E+00	Condition 6	4.00E+00	1.00E+00	0.00E+00	4.46E+02	4.10E+02
549	2.06E+00	1.00E+00	Condition 7	4.00E+00	1.00E+00	0.00E+00	8.95E+01	5.02E+02
566	1.54E+00	2.00E+00	Condition 7	4.00E+00	2.00E+00	1.00E+00	8.95E+01	1.38E+02
582	2.08E-01	1.00E+00	Condition 8	4.00E+00	1.00E+00	0.00E+00	1.04E+02	7.07E+01
609	1.81E+00	1.00E+00	Condition 8	4.00E+00	2.00E+00	1.00E+00	3.09E+01	2.09E+02
619	2.57E+00	1.00E+00	Condition 8	4.00E+00	3.00E+00	1.00E+00	1.03E+02	4.05E+02
666	2.11E+00	0.00E+00	Condition 8	4.00E+00	4.00E+00	2.00E+00	1.13E+02	6.99E+01
667	2.11E+00	0.00E+00	Condition 8	4.00E+00	5.00E+00	2.00E+00	1.14E+02	1.00E+02
678	1.35E+00	0.00E+00	Condition 8	4.00E+00	6.00E+00	2.00E+00	1.84E+02	1.49E+02
679	1.35E+00	0.00E+00	Condition 8	4.00E+00	7.00E+00	2.00E+00	1.88E+02	1.56E+02
25	4.13E+00	0.00E+00	Condition 1	5.00E+00	1.00E+00	0.00E+00	1.59E+02	1.14E+02
73	2.40E-01	1.00E+00	Condition 2	5.00E+00	1.00E+00	0.00E+00	7.09E+01	3.58E+01
81	1.60E+00	1.00E+00	Condition 2	5.00E+00	2.00E+00	1.00E+00	2.35E+01	1.03E+02
87	1.93E+00	1.00E+00	Condition 2	5.00E+00	3.00E+00	1.00E+00	4.32E+01	2.99E+02
128	9.06E-01	1.00E+00	Condition 2	5.00E+00	4.00E+00	2.00E+00	7.77E+01	1.04E+02
126	8.23E-01	1.00E+00	Condition 2	5.00E+00	5.00E+00	2.00E+00	7.58E+01	1.37E+02
142	1.56E+00	1.00E+00	Condition 2	5.00E+00	6.00E+00	2.00E+00	1.26E+02	2.30E+02
137	1.08E+00	1.00E+00	Condition 2	5.00E+00	7.00E+00	2.00E+00	1.10E+02	1.65E+02
153	1.15E+00	1.00E+00	Condition 2	5.00E+00	8.00E+00	3.00E+00	5.97E+01	7.29E+01
152	1.38E+00	0.00E+00	Condition 2	5.00E+00	9.00E+00	3.00E+00	4.02E+01	1.15E+02
157	1.08E+00	1.00E+00	Condition 2	5.00E+00	1.00E+01	3.00E+00	9.92E+01	8.99E+01
150	1.17E+00	1.00E+00	Condition 2	5.00E+00	1.10E+01	3.00E+00	3.04E+01	5.95E+01
165	3.96E-01	0.00E+00	Condition 2	5.00E+00	1.20E+01	3.00E+00	2.01E+02	1.06E+02
159	3.96E-01	0.00E+00	Condition 2	5.00E+00	1.30E+01	3.00E+00	1.21E+02	7.76E+01
156	8.71E-01	0.00E+00	Condition 2	5.00E+00	1.40E+01	3.00E+00	9.85E+01	1.03E+02
158	8.71E-01	0.00E+00	Condition 2	5.00E+00	1.50E+01	3.00E+00	1.16E+02	1.25E+02
170	4.13E+00	0.00E+00	Condition 3	5.00E+00	1.00E+00	0.00E+00	1.60E+01	1.04E+02
223	2.29E-01	1.00E+00	Condition 4	5.00E+00	1.00E+00	0.00E+00	7.83E+01	1.95E+02
248	3.90E+00	0.00E+00	Condition 4	5.00E+00	2.00E+00	1.00E+00	2.42E+01	1.35E+02
261	3.02E+00	1.00E+00	Condition 4	5.00E+00	3.00E+00	1.00E+00	9.84E+01	4.00E+02
289	8.82E-01	0.00E+00	Condition 4	5.00E+00	6.00E+00	2.00E+00	4.93E+01	2.31E+02
297	8.82E-01	0.00E+00	Condition 4	5.00E+00	7.00E+00	2.00E+00	2.50E+02	1.63E+02
346	1.79E+00	3.00E+00	Condition 5	5.00E+00	1.00E+00	0.00E+00	1.80E+01	1.66E+01
414	1.50E+00	1.00E+00	Condition 6	5.00E+00	1.00E+00	0.00E+00	5.64E+01	3.40E+02
468	1.95E+00	1.00E+00	Condition 6	5.00E+00	2.00E+00	1.00E+00	1.47E+02	3.49E+02
470	1.53E+00	1.00E+00	Condition 6	5.00E+00	3.00E+00	1.00E+00	2.11E+02	2.94E+02
